-95.62506,141.4193, 171.3574 ; 0, 19.86439, 0
-56.61248,137.845, 243.5138 ; 0, 37.90195, 0
5.513166,132.9154, 296.7885 ; 0, 61.52324, 0
85.06292,135.3438, 310.3148 ; 0, 97.69961, 0
157.9624,141.5167, 275.789 ; 0, 131.1779, 0
212.4725,144.9122, 214.6228 ; 0, 141.8769, 0
258.0025,145.3421, 146.3493 ; 0, 149.1732, 0
299.6264,143.0774, 75.0902 ; 0, 148.6306, 0
346.442,139.9749, 7.93822 ; 0, 137.8202, 0
413.7898,138.646, -38.28876 ; 0, 111.5754, 0
493.8332,133.1304, -55.89238 ; 0, 97.5392, 0
574.9946,120.5961, -68.81399 ; 0, 99.63713, 0
654.4579,111.5475, -90.44462 ; 0, 112.9146, 0
721.1077,109.5972, -136.8173 ; 0, 136.3847, 0
760.1714,109.4508, -208.1127 ; 0, 164.8457, 0
765.0671,109.6308, -289.4409 ; 0, 186.2364, 0
745.0754,109.7683, -368.498 ; 0, 205.459, 0
694.1281,110.2646, -431.9197 ; 0, 233.0365, 0
618.5484,118.2599, -459.3733 ; 0, 264.5841, 0
535.7755,129.5326, -459.4846 ; 0, 271.1389, 0
453.5159,136.5249, -459.2022 ; 0, 269.5406, 0
371.9974,138.9802, -466.2123 ; 0, 256.4544, 0
301.118,139.1587, -505.7136 ; 0, 225.5547, 0
269.6788,139.2761, -578.9521 ; 0, 186.246, 0
263.0973,139.4299, -660.1913 ; 0, 184.3867, 0
256.1339,139.6077, -741.7408 ; 0, 186.6073, 0
235.6864,140.3201, -821.2038 ; 0, 208.5975, 0
174.4874,144.2633, -872.5445 ; 0, 248.4873, 0
94.10856,150.7478, -876.8539 ; 0, 283.4106, 0
19.84711,155.4449, -843.02 ; 0, 307.5479, 0
-32.68859,156.3868, -780.4366 ; 0, 327.2536, 0
-73.49333,155.001, -709.3882 ; 0, 332.5815, 0
-103.9025,152.0215, -632.6105 ; 0, 343.1541, 0
-121.3366,148.4098, -552.0302 ; 0, 349.183, 0
-132.9108,145.5982, -470.3209 ; 0, 354.1426, 0
-139.5965,144.0355, -388.1172 ; 0, 355.9904, 0
-143.8902,143.4808, -305.8728 ; 0, 356.7849, 0
-145.4457,143.36, -224.0206 ; 0, 358.1986, 0
-146.0379,143.4058, -142.1482 ; 0, 5.907, 0
-142.1073,143.436, -59.92685 ; 0, 4.834317, 0
-132.5867,143.3402, 21.60857 ; 0, 8.368352, 0
-133.6484,143.3402, 24.73785 ; 0, 13.167, 0
