-119.2517,141.9838, 172.28 ; 0, 18.81065, 0
-85.23457,138.6253, 247.614 ; 0, 30.79474, 0
-30.06768,133.3939, 307.6987 ; 0, 52.52568, 0
43.18998,131.8775, 342.4353 ; 0, 78.21364, 0
124.4062,137.6783, 336.0923 ; 0, 110.1286, 0
190.3986,143.1523, 288.8151 ; 0, 137.4673, 0
240.4408,145.9076, 223.7739 ; 0, 145.7614, 0
285.1397,145.9676, 154.6273 ; 0, 148.0707, 0
327.1638,143.4958, 83.57597 ; 0, 149.2926, 0
374.2724,140.3354, 16.763 ; 0, 135.1873, 0
444.5139,138.4018, -22.80215 ; 0, 102.2271, 0
526.3456,129.6758, -33.67653 ; 0, 97.52551, 0
607.874,116.8988, -45.45191 ; 0, 99.21233, 0
686.8412,110.065, -69.11906 ; 0, 115.7024, 0
750.8555,108.6232, -118.9311 ; 0, 140.1143, 0
788.5586,108.4234, -191.0569 ; 0, 163.9567, 0
797.9991,108.4292, -272.5182 ; 0, 181.3652, 0
785.109,108.4336, -353.1235 ; 0, 196.5546, 0
747.3519,108.2214, -425.5666 ; 0, 219.3041, 0
682.4249,110.6473, -473.724 ; 0, 247.6214, 0
602.1804,120.6774, -487.2392 ; 0, 270.0161, 0
519.9105,131.1893, -485.3376 ; 0, 270.8525, 0
437.6444,137.0858, -485.5129 ; 0, 267.9738, 0
357.1369,138.7231, -497.3062 ; 0, 250.3199, 0
303.2549,138.5981, -553.7466 ; 0, 197.7137, 0
293.9937,138.5918, -634.9073 ; 0, 184.7283, 0
288.899,138.6562, -716.8002 ; 0, 184.1398, 0
273.2,138.995, -797.1963 ; 0, 199.6036, 0
232.481,140.8889, -867.5856 ; 0, 222.3028, 0
163.1698,146, -909.5151 ; 0, 255.2373, 0
82.69801,152.346, -906.4374 ; 0, 286.343, 0
11.34082,156.639, -866.2344 ; 0, 309.9754, 0
-45.9425,158.1319, -808.2026 ; 0, 320.219, 0
-91.05846,157.2426, -739.7612 ; 0, 331.4903, 0
-123.0464,154.4501, -663.7666 ; 0, 340.7553, 0
-145.6618,150.87, -584.1385 ; 0, 346.9758, 0
-160.1415,147.6921, -503.5788 ; 0, 351.403, 0
-169.9874,145.641, -421.6249 ; 0, 353.0952, 0
-176.5395,144.7325, -339.3087 ; 0, 356.1707, 0
-178.7672,144.4, -257.2741 ; 0, 9.169001, 0
-176.9364,144.2417, -174.9388 ; 0, 1.810451, 0
-172.1823,144.1424, -92.95709 ; 0, 4.217024, 0
-162.8673,144.0105, -11.6106 ; 0, 7.789829, 0
-145.99,144.0105, 59.23 ; 0, 10.57073, 0
